structure,chain
1A6M,A
1AHO,A
1BYI,A
1C75,A
1C7K,A
1DY5,A
1EB6,A
1EXR,A
1F94,A
1G4I,A
1G66,A
1G6X,A
1GA6,A
1GCI,A
1GKM,A
1GQV,A
1GWE,A
1I1W,A
1IQZ,A
1IX9,A
1IXH,A
1J0P,A
1JFB,A
1K4I,A
1K5C,A
1KTH,A
1KWF,A
1L9L,A
1LKK,A
1LNI,A
1M1Q,A
1M40,A
1MC2,A
1MJ5,A
1MN8,A
1MUW,A
1MWQ,A
1N4W,A
1NKI,A
1NLS,A
1NQJ,A
1NWZ,A
1O7J,A
1OAI,A
1OD3,A
1OEW,A
1OK0,A
1P1X,A
1P9G,A
1PQ7,A
1Q6Z,A
1R6J,A
1RTQ,A
1TG0,A
1TQG,A
1TT8,A
1U2H,A
1UCS,A
1UFY,A
1UG6,A
1UNQ,A
1US0,A
1V0L,A
1V6P,A
1VBW,A
1VYR,A
1W0N,A
1X6Z,A
1X8Q,A
1XG0,A
1XG0,C
1XMK,A
1Y55,X
1ZK4,A
1ZLB,A
1ZUU,A
1ZZK,A
2A6Z,A
2B97,A
2BF6,A
2BT9,A
2BW4,A
2CE2,X
2CHH,A
2CNQ,A
2CWS,A
2DDX,A
2DSX,A
2E4T,A
2ERL,A
2F01,A
2FDN,A
2FMA,A
2FVY,A
2FWH,A
2G6F,X
2GGC,A
2GKG,A
2GUD,A
2H3L,A
2H5C,A
2HS1,A
2I4A,A
2IIM,A
2IXT,A
2JFR,A
2JHF,A
2O7A,A
2O9S,A
2OV0,A
2P5K,A
2P74,A
2PND,A
2PNE,A
2PVB,A
2PWA,A
2QCP,X
2QSK,A
2QXI,A
2R31,A
2RBK,A
2RH2,A
2V1M,A
2V8T,A
2VB1,A
2VHA,A
2VHK,A
2VXN,A
2WFI,A
2WUR,A
2X46,A
2XFR,A
2XJP,A
2XOD,A
2XOM,A
2XU3,A
2Y78,A
2YKZ,A
2ZPM,A
3A02,A
3A38,A
3A4R,A
3AGN,A
3AJ4,A
3AKS,A
3BWH,A
3CCD,A
3D1P,A
3DHA,A
3DK9,A
3E4G,A
3EA6,A
3EO6,A
3F1L,A
3FIL,A
3FSA,A
3FYM,A
3G21,A
3G46,A
3GOE,A
3H31,A
3HGP,A
3IP0,A
3JU4,A
3JUD,A
3JYO,A
3KFF,A
3KLR,A
3KS3,A
3L8W,A
3M5Q,A
3NE0,A
3NED,A
3NIR,A
3NOQ,A
3O4P,A
3O5Q,A
3PSM,A
3PUC,A
3Q46,A
3QL9,A
3QM9,A
3QPA,A
3QR7,A
3RQ9,A
3RWN,A
3S6E,A
3SOJ,A
3TEU,A
3U7Q,A
3U7Q,B
3UI4,A
3V1A,A
3VII,A
3VLA,A
3VN3,A
3VOR,A
3VRC,A
3ZR8,X
3ZSJ,A
3ZUC,A
3ZZP,A
4A02,A
4A7U,A
4ACJ,A
4AR5,A
4AXO,A
4AYO,A
4DPB,X
4EA9,A
4EGU,A
4EKF,A
4F1V,A
4G9S,A
4G9S,B
4GA2,A
4GNR,A
4GZN,C
4HNO,A
4I8H,A
7A3H,A
